id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
5W3UniuRMkHHIpaiQo1hAW,Bad Intentions,Niykee Heaton,4,123.994,0.431,0.096,0,0.248,0.0865,0,-5.175,11,0.72,0.743
1C8yDcVIhBObN58cSS8oX9,Bosses Don't Speak,Quality Control,4,77.456,0.137,0.109,0,0.043,0.34,1,-8.505,10,0.494,0.859
7uYbpT7Wfsu0w1eccEKDvM,Cocoon,Migos,4,120.033,0.364,0.0879,0,0.191,0.255,1,-3.695,7,0.824,0.58
4AlrLQ2RMxOwz1gTTkb4vQ,Deadz (feat. 2 Chainz),Migos,4,123.012,0.372,0.128,0,0.162,0.232,1,-3.571,8,0.785,0.862
1r0faljjM2b876iNoaDUh5,Sacrifices,Big Sean,4,141.999,0.394,0.257,0,0.284,0.272,0,-7.641,10,0.565,0.77
61zTSexBvC42Db8jxMHuKx,Handsome And Wealthy,Migos,4,146.031,0.237,0.094,0,0.00348,0.101,1,-2.907,2,0.665,0.858
1iTWoKAdilGEmit6xhQZje,Peek A Boo,Lil Yachty,4,127.027,0.284,0.0908,0,0.06,0.301,1,-6.982,1,0.593,0.957
67gmXPQZL1ISSh13OJJ1Pu,Blue Cheese,2 Chainz,4,130.001,0.11,0.578,0,0.0693,0.244,1,-5.335,7,0.583,0.804
76T8y91xMLWJgfsEsmWGxW,Nasty (Who Dat),A$AP Ferg,4,179.041,0.428,0.378,2.25e-05,0.0203,0.118,0,-4.551,4,0.636,0.661
23SryQFx36SXmuAj7tXxec,Key to the Streets (feat. Migos & Trouble),YFN Lucci,4,140.064,0.294,0.113,0,0.123,0.113,0,-5.454,6,0.687,0.768
6eBrlbv2HMYcldwjoMWIrC,Pipe It Up,Migos,4,132.086,0.476,0.121,0,0.181,0.274,0,-4.996,4,0.731,0.92
7yPHKFU9FSCwW4TgWODMrp,Bricks,Carnage,4,145.938,0.394,0.118,0,0.198,0.327,1,-6.134,8,0.706,0.8
5vRE2lyh7sE5Mn1dMF2Mps,Commando,Migos,4,114.99,0.439,0.457,0,0.167,0.163,1,-4.895,1,0.864,0.958
3H7UfOkl5vh9sZ07nxSbUb,Freak No More,Migos,4,125.921,0.145,0.115,0,0.0506,0.368,0,-7.195,5,0.455,0.793
6e0Sq5QPvMffzke6SMaNck,Thick & Pretty,Quality Control,4,133.991,0.728,0.129,0,0.0236,0.26,0,-6.361,10,0.706,0.953
24bkQGBiQ5JK98daJknUMa,Quarterback,Young Thug,4,128.978,0.299,0.118,0,0.107,0.0904,0,-7.739,0,0.633,0.817
3SnLc0bQjQeE3HgGdNfb8u,Hannah Montana,Migos,4,135.95,0.593,0.0964,7.79e-06,0.105,0.283,1,-3.484,0,0.744,0.901
6QemAIu5bX02Xc1AowTFBu,Pop Sh*t,Quality Control,4,139.011,0.307,0.245,0,0.0197,0.252,1,-7.912,7,0.594,0.942
6Gg25EZRbQd4IHiJz2KSY0,Testimony,Kodak Black,4,80.031,0.376,0.11,0,0.0369,0.36,0,-4.785,6,0.667,0.814
26FpOENKQstjLRhX1fxUs9,This Forever,Kodak Black,4,80.862,0.573,0.142,0,0.00385,0.328,0,-5.193,1,0.691,0.795
48KTGG6wBPpleE5KsTuiwy,Identity Theft,Kodak Black,4,97.988,0.756,0.126,0,0.0416,0.384,1,-5.837,1,0.696,0.938
40Rpg3LkZwwzuHJ3GdjMma,Gnarly (feat. Lil Pump),Kodak Black,4,144.981,0.51,0.123,0,0.469,0.0833,0,-4.003,10,0.784,0.764
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),Kodak Black,4,98.043,0.504,0.0924,0,0.0521,0.176,0,-5.788,8,0.603,0.861
1XJBDDpeuZaj5fvmwhdIMw,Take One,Kodak Black,4,174.034,0.501,0.315,0,0.114,0.47,1,-7.2,1,0.615,0.66
4KX8vXbouybtUptEyYxtIk,MoshPit (feat. Juice WRLD),Kodak Black,4,157.938,0.49,0.106,0,0.394,0.262,1,-4.064,7,0.627,0.769
52Vrauy7m3EtC1aQqj7Rfp,Transgression,Kodak Black,4,81.465,0.85,0.121,0,0.625,0.293,0,-4.892,7,0.639,0.57
6JXFDTCAIe5FfiiQYeMgh3,Malcolm X.X.X.,Kodak Black,4,169.572,0.348,0.648,0,0.46,0.399,1,-5.864,5,0.721,0.47
2MShy1GSSgbmGUxADNIao5,Calling My Spirit,Kodak Black,4,119.985,0.74,0.261,0,0.0996,0.0941,1,-9.954,1,0.366,0.91
15eaTEZMA2CqOxBvyuosLI,In The Flesh,Kodak Black,4,173.977,0.538,0.12,0,0.595,0.275,1,-7.336,1,0.521,0.735
5eMbTELOeo7gEdFAIBix0c,Close To The Grave,Kodak Black,4,129.695,0.368,0.146,0,0.044,0.179,1,-6.83,1,0.528,0.638
53iV4HGEGjKtAFrPt0PyfV,From The Cradle,Kodak Black,4,141.013,0.183,0.194,0,0.212,0.0935,0,-5.926,2,0.446,0.793
7HdNB8nvJOBwHa8hIkzvxp,"If I'm Lyin, I'm Flyin",Kodak Black,4,176.117,0.283,0.186,3.41e-06,0.0996,0.24,0,-5.558,11,0.617,0.715
1CjgBZsDOXNUs9aZdzOqSu,Needing Something,Kodak Black,5,119.995,0.445,0.106,0,0.326,0.423,1,-4.977,11,0.711,0.572
4VQ46sRJtb6osiD3xfYGHx,Could Of Been Different,Kodak Black,4,104.955,0.35,0.0817,0,0.232,0.246,1,-4.53,0,0.823,0.883
